api_id,vendor,api_name,endpoint,method,business_unit,authentication,tls_enabled,rate_limit,public_exposure,last_used,status,risk_score,risk_level
API0230,KPMG,Analytics API,/api/v1/analytics,DELETE,DevOps,Basic,True,False,False,2025-07-05 15:05:31.464894,Deprecated,20,Low
API0074,Cisco,Audit API,/api/v1/audit,DELETE,DevOps,Basic,True,False,False,2026-03-25 15:05:31.462200,Active,10,Low
API0522,Stripe,Email API,/api/v1/email,DELETE,Payments,JWT,True,False,True,2025-08-25 15:05:31.467949,Zombie,70,High
API0087,CrowdStrike,Analytics API,/api/v1/analytics,POST,CRM,None,True,False,True,2026-03-18 15:05:31.462386,Active,70,High
API0470,Workday,Notification API,/api/v1/notification,GET,Payments,None,False,False,True,2025-06-26 15:05:31.467519,Zombie,100,Critical
API0078,CrowdStrike,Admin API,/api/v1/admin,PUT,Storage,API Key,False,False,True,2026-03-18 15:05:31.462273,Active,80,High
API0298,TCS,Search API,/api/v1/search,POST,Payments,Basic,True,False,True,2026-04-29 15:05:31.465950,Active,50,Moderate
API0419,MongoDB,Authentication API,/api/v1/authentication,GET,CRM,JWT,False,False,True,2025-11-13 15:05:31.467063,Zombie,100,Critical
API0343,PayPal,Database API,/api/v1/database,DELETE,Finance,OAuth2,False,False,True,2025-09-15 15:05:31.466392,Zombie,100,Critical
API0384,Infosys,Billing API,/api/v1/billing,GET,CRM,API Key,True,False,True,2026-02-08 15:05:31.466775,Active,50,Moderate
API0007,Check Point,Audit API,/api/v1/audit,DELETE,HR,JWT,False,True,True,2026-03-18 15:05:31.460429,Active,70,High
API0118,Microsoft Azure,Billing API,/api/v1/billing,GET,Analytics,Basic,True,True,False,2026-01-04 15:05:31.462857,Deprecated,10,Low
API0411,MongoDB,Logging API,/api/v1/logging,DELETE,Payments,None,True,False,False,2026-04-12 15:05:31.467000,Active,30,Moderate
API0076,CrowdStrike,Audit API,/api/v1/audit,PUT,Finance,JWT,True,False,False,2025-08-24 15:05:31.462243,Deprecated,20,Low
API0273,Trend Micro,Invoice API,/api/v1/invoice,DELETE,Payments,API Key,True,True,True,2025-08-10 15:05:31.465562,Zombie,60,High
API0196,EY,Authorization API,/api/v1/authorization,POST,Identity,OAuth2,True,True,False,2026-02-06 15:05:31.464037,Deprecated,10,Low
API0495,Mastercard,Recommendation API,/api/v1/recommendation,POST,HR,API Key,True,False,False,2025-07-16 15:05:31.467731,Deprecated,20,Low
API0102,Cloudflare,Invoice API,/api/v1/invoice,POST,DevOps,OAuth2,True,False,True,2025-10-07 15:05:31.462611,Zombie,70,High
API0527,Auth0,Analytics API,/api/v1/analytics,PUT,Payments,None,True,True,False,2026-05-11 15:05:31.468002,Active,20,Low
API0056,Oracle,Search API,/api/v1/search,PUT,Analytics,OAuth2,False,True,True,2025-10-04 15:05:31.461931,Zombie,90,Critical
API0374,ServiceNow,Logging API,/api/v1/logging,POST,Analytics,None,True,False,True,2026-05-16 15:05:31.466690,Active,70,High
API0186,Deloitte,Database API,/api/v1/database,POST,DevOps,JWT,False,False,False,2026-05-10 15:05:31.463885,Active,40,Moderate
API0299,TCS,Logging API,/api/v1/logging,DELETE,CRM,API Key,False,True,False,2026-02-21 15:05:31.465963,Deprecated,40,Moderate
API0168,Snowflake,Payment API,/api/v1/payment,GET,HR,Basic,False,True,False,2026-02-16 15:05:31.463641,Deprecated,40,Moderate
API0480,Workday,Logging API,/api/v1/logging,POST,Payments,Basic,False,False,False,2026-01-31 15:05:31.467600,Deprecated,50,Moderate
API0003,Check Point,Profile API,/api/v1/profile,GET,Analytics,API Key,False,True,True,2025-09-11 15:05:31.460391,Zombie,90,Critical
API0181,Deloitte,Invoice API,/api/v1/invoice,DELETE,Finance,JWT,False,True,True,2026-06-15 15:05:31.463820,Active,70,High
API0358,Visa,Search API,/api/v1/search,PUT,Payments,API Key,True,True,True,2026-04-29 15:05:31.466558,Active,40,Moderate
API0011,Check Point,Billing API,/api/v1/billing,POST,DevOps,API Key,True,False,True,2026-03-02 15:05:31.460463,Active,50,Moderate
API0312,PwC,Analytics API,/api/v1/analytics,POST,Finance,Basic,True,True,True,2026-04-26 15:05:31.466135,Active,40,Moderate
API0372,ServiceNow,Database API,/api/v1/database,PUT,Payments,JWT,True,True,False,2025-10-22 15:05:31.466676,Deprecated,10,Low
API0177,Snowflake,CRM API,/api/v1/crm,DELETE,Payments,API Key,False,True,False,2025-12-15 15:05:31.463755,Deprecated,40,Moderate
API0246,Okta,Recommendation API,/api/v1/recommendation,GET,Finance,None,True,True,False,2026-05-16 15:05:31.465147,Active,20,Low
API0465,Ping Identity,Search API,/api/v1/search,POST,CRM,JWT,False,True,False,2025-08-09 15:05:31.467441,Deprecated,40,Moderate
API0350,Visa,Analytics API,/api/v1/analytics,GET,Analytics,OAuth2,False,True,False,2026-01-21 15:05:31.466457,Deprecated,40,Moderate
API0525,Stripe,Storage API,/api/v1/storage,POST,CRM,Basic,True,False,False,2025-12-04 15:05:31.467973,Deprecated,20,Low
API0415,MongoDB,Search API,/api/v1/search,GET,CRM,Basic,True,True,True,2025-10-31 15:05:31.467033,Zombie,60,High
API0073,Cisco,Search API,/api/v1/search,DELETE,Identity,OAuth2,True,True,False,2025-06-26 15:05:31.462186,Deprecated,10,Low
API0197,EY,Customer API,/api/v1/customer,GET,HR,JWT,False,True,False,2025-07-08 15:05:31.464049,Deprecated,40,Moderate
API0269,Oracle Cloud,Authorization API,/api/v1/authorization,DELETE,DevOps,None,False,True,False,2025-08-11 15:05:31.465494,Deprecated,60,High
API0322,Zscaler,Logging API,/api/v1/logging,POST,Storage,None,True,False,True,2025-12-23 15:05:31.466224,Zombie,90,Critical
API0489,Mastercard,Storage API,/api/v1/storage,GET,DevOps,OAuth2,True,True,True,2026-03-29 15:05:31.467685,Active,40,Moderate
API0141,Fortinet,Logging API,/api/v1/logging,GET,DevOps,API Key,False,True,True,2026-01-18 15:05:31.463224,Active,70,High
API0458,Ping Identity,Authorization API,/api/v1/authorization,GET,Identity,API Key,False,False,False,2025-12-12 15:05:31.467387,Deprecated,50,Moderate
API0174,Snowflake,File Upload API,/api/v1/file-upload,POST,Identity,None,True,True,True,2026-01-17 15:05:31.463716,Active,60,High
API0080,CrowdStrike,Storage API,/api/v1/storage,PUT,HR,Basic,True,True,False,2026-03-18 15:05:31.462299,Active,0,Low
API0363,ServiceNow,File Upload API,/api/v1/file-upload,POST,HR,Basic,True,False,False,2026-01-07 15:05:31.466604,Deprecated,20,Low
API0397,Redis,CRM API,/api/v1/crm,DELETE,Identity,None,True,True,False,2025-11-04 15:05:31.466883,Deprecated,30,Moderate
